Sample,Number,Mouse_ID,Strain,sex,DOB,parents,Western_Diet,Sac_Date,weight_g,length_cm,ab_fat,other_fat,total_fat,comments,100xfat_weight,Trigly,Total_Chol,HDL_Chol,UC,FFA,Glucose,LDL_plus_VLDL,MCP_1_phys,Insulin_ug_l,Glucose_Insulin,Leptin_pg_ml,Adiponectin,Aortic lesions,Note,Aneurysm,Aortic_cal_M,Aortic_cal_L,CoronaryArtery_Cal,Myocardial_cal,BMD_all_limbs,BMD_femurs_only
F2_290,290,306-4,"BxH ApoE-/-, F2",2,2002-3-22,229232,2002-5-14,2002-9-11,36.9,9.9,2.53,2.26,4.79,NA,12.98102981,53,1167,50,484,121,437,1117,175.85,924,0.472943723,245462,11.274,496250,NA,16,0,17,0,0,NA,NA
F2_291,291,307-1,"BxH ApoE-/-, F2",2,2002-3-22,232,2002-5-14,2002-9-11,48.5,10.7,2.9,2.97,5.87,NA,12.10309278,61,1230,32,592,173,572,1198,92.43,5781,0.098944819,84420.88,7.099,NA,NA,16,4,0,2,4,0.0548,0.0773
F2_292,292,307-2,"BxH ApoE-/-, F2",1,2002-3-22,232,2002-5-14,2002-9-11,45.7,10.4,1.04,2.31,3.35,NA,7.330415755,41,1285,81,460,96,497,1204,196.398,2074,0.239633558,105889.76,5.795,218500,NA,0,0,11,0,0,0.0554,0.08065
F2_293,293,307-3,"BxH ApoE-/-, F2",1,2002-3-22,232,2002-5-14,2002-9-11,50.3,10.9,0.91,1.89,2.8,NA,5.566600398,271,1299,64,476,122,553,1235,97.466,11874,0.046572343,100398.68,5.495,61250,NA,0,0,0,0,236,0.0597,0.0868
F2_294,294,307-4,"BxH ApoE-/-, F2",1,2002-3-22,232,2002-5-14,2002-9-11,44.8,9.8,1.22,2.47,3.69,NA,8.236607143,114,1410,50,516,118,535,1360,95.452,9181,0.058272519,130846.3,6.868,243750,NA,12,10,0,0,0,NA,NA
F2_295,295,308-1,"BxH ApoE-/-, F2",1,2002-3-22,232,2002-5-14,2002-9-11,39.2,10.2,3.06,2.49,5.55,NA,14.15816327,72,1533,18,620,106,382,1515,144.27,485,0.787628866,75166.22,17.328,104250,NA,17,2,0,0,0,0.0557,0.077
F2_296,296,308-2,"BxH ApoE-/-, F2",2,2002-3-22,232,2002-5-14,2002-9-11,38.8,10.2,3.28,1.64,4.92,NA,12.68041237,120,1386,29,539,131,569,1357,109.494,978,0.581799591,68410.52,8.71,133250,NA,0,0,7,0,0,0.0621,0.09105
F2_297,297,308-3,"BxH ApoE-/-, F2",2,2002-3-22,232,2002-5-14,2002-9-11,31.2,10.1,1.83,1.5,3.33,NA,10.67307692,15,699,10,297,80,376,689,161.976,831,0.452466907,44714.22,27.404,313500,NA,0,0,0,0,0,NA,NA
F2_298,298,308-4,"BxH ApoE-/-, F2",2,2002-3-22,232,2002-5-14,2002-9-11,33.4,10,2.19,1.81,4,NA,11.9760479,65,1334,19,504,110,568,1315,87.668,560,1.014285714,74253.66,14.237,301500,NA,6,0,0,0,0,NA,NA
F2_299,299,338-1,"BxH ApoE-/-, F2",2,2002-3-22,109,2002-5-14,2002-9-11,40,9.9,3.41,2.68,6.09,NA,15.225,83,1114,33,459,131,464,1081,129.976,1151,0.403127715,114169.02,7.592,57500,NA,0,0,0,6,0,0.0575,0.08275
